#node	identifier	node_degree
PET100	9606.ENSP00000470539	5
PEX1	9606.ENSP00000248633	14
PEX10	9606.ENSP00000288774	20
PEX11B	9606.ENSP00000358312	20
PEX12	9606.ENSP00000482609	20
PEX13	9606.ENSP00000295030	21
PEX14	9606.ENSP00000349016	21
PEX16	9606.ENSP00000241041	20
PEX19	9606.ENSP00000357051	22
PEX2	9606.ENSP00000349543	21
PEX26	9606.ENSP00000331106	18
PEX3	9606.ENSP00000356563	21
PEX5	9606.ENSP00000391601	21
PEX6	9606.ENSP00000303511	20
PEX7	9606.ENSP00000315680	19
PGAP1	9606.ENSP00000346809	22
PGAP2	9606.ENSP00000278243	17
PGAP3	9606.ENSP00000300658	14
PHACTR1	9606.ENSP00000329880	1
PHC1	9606.ENSP00000437659	34
PHF6	9606.ENSP00000329097	22
PHGDH	9606.ENSP00000493382	48
PI4KA	9606.ENSP00000255882	10
PIEZO2	9606.ENSP00000421377	10
PIGA	9606.ENSP00000369820	35
PIGC	9606.ENSP00000356702	19
PIGH	9606.ENSP00000216452	16
PIGL	9606.ENSP00000225609	25
PIGO	9606.ENSP00000367880	24
PIGP	9606.ENSP00000420037	17
PIGQ	9606.ENSP00000026218	17
PIGS	9606.ENSP00000309430	11
PIGV	9606.ENSP00000363260	18
PIGW	9606.ENSP00000482202	30
PIGY	9606.ENSP00000432688	15
PISD	9606.ENSP00000391739	8
PLAA	9606.ENSP00000380460	13
PLEKHG2	9606.ENSP00000392906	3
PLK4	9606.ENSP00000270861	55
PLP1	9606.ENSP00000481006	17
PLPBP	9606.ENSP00000333551	8
PMM2	9606.ENSP00000268261	29
PMPCB	9606.ENSP00000249269	58
PNKP	9606.ENSP00000323511	29
PNPO	9606.ENSP00000493302	21
POC1A	9606.ENSP00000296484	21
POGZ	9606.ENSP00000271715	6
POLA1	9606.ENSP00000368358	48
POLE	9606.ENSP00000322570	71
POLG	9606.ENSP00000399851	28
POLR1A	9606.ENSP00000263857	71
POLR1B	9606.ENSP00000444136	69
