ID	log2(fold change)	-log10(Pvalue)
A_33_P3264926	0.962	3.531
A_33_P3265205	2.828	5.146
A_33_P3265264	1.321	3.525
A_33_P3265394	0.966	3.382
A_33_P3266964	-0.523	3.124
A_33_P3267865	1.024	3.843
A_33_P3268124	0.593	4.094
A_33_P3268532	1.425	5.143
A_33_P3268954	0.527	3.319
A_33_P3269924	1.529	5.512
A_33_P3273752	1.215	3.292
A_33_P3273854	0.752	3.303
A_33_P3274164	-0.773	4.911
A_33_P3274304	-0.531	3.648
A_33_P3276435	0.658	3.284
A_33_P3278068	0.801	4.663
A_33_P3278684	2.364	3.508
A_33_P3282181	-0.446	3.405
A_33_P3282634	1.236	3.361
A_33_P3283611	5.672	9.611
A_33_P3285629	1.588	3.94
A_33_P3287348	1.04	4.137
A_33_P3287997	1.071	3.873
A_33_P3289865	0.961	4.027
A_33_P3290573	0.763	4.752
A_33_P3290853	2.03	3.344
A_33_P3291871	3.409	4.138
A_33_P3293918	0.775	4.117
A_33_P3294608	0.712	3.099
A_33_P3294881	0.757	4.482
A_33_P3296707	-0.369	3.094
A_33_P3297517	0.981	4.4
A_33_P3298980	2.513	6.345
A_33_P3303562	2.371	6.172
A_33_P3304242	0.774	3.502
A_33_P3306103	0.735	3.441
A_33_P3307163	2.076	5.509
A_33_P3308132	-0.449	3.755
A_33_P3308347	-1.032	3.3
A_33_P3311165	0.833	4.281
A_33_P3311994	-0.938	3.373
A_33_P3313421	0.512	3.522
A_33_P3313846	1.189	3.995
A_33_P3315779	4.332	7.503
A_33_P3316539	-0.596	4.203
A_33_P3317317	-0.4	3.304
A_33_P3317548	-1.121	3.241
A_33_P3317558	0.98	4.125
A_33_P3319502	0.556	3.932
A_33_P3323298	1.069	5.113
A_33_P3323803	0.627	4.181
A_33_P3325195	0.598	3.206
A_33_P3325336	-1.022	5.307
A_33_P3325395	1.457	3.226
A_33_P3325502	-1.071	3.168
A_33_P3325914	0.628	4.147
A_33_P3326992	0.61	3.168
A_33_P3328559	0.414	3.247
A_33_P3329428	-1.434	4.659
A_33_P3330109	0.922	5.659
A_33_P3330712	-1.134	4.15
A_33_P3331178	1.337	3.515
A_33_P3331366	2.637	7.6
A_33_P3331391	2.672	4.628
A_33_P3331426	0.477	3.297
A_33_P3331652	1.428	5.564
A_33_P3332302	0.971	3.531
A_33_P3332625	0.881	3.707
A_33_P3332970	1.222	5.707
A_33_P3333317	0.901	4.574
A_33_P3333820	-0.4	3.166
A_33_P3335661	1.282	4.291
A_33_P3338631	0.511	3.231
A_33_P3340404	0.404	3.217
A_33_P3342628	0.733	3.153
A_33_P3343175	6.996	11.662
A_33_P3344405	0.46	3.316
A_33_P3344406	0.616	3.644
A_33_P3345816	1.438	3.639
A_33_P3347037	1.213	3.53
A_33_P3348046	0.958	4.25
A_33_P3348234	0.856	3.639
A_33_P3348328	-0.516	3.456
A_33_P3348872	5.692	10.862
A_33_P3350634	-0.852	4.962
A_33_P3350703	1.807	4.787
A_33_P3353051	0.44	3.221
A_33_P3353991	1.943	4.445
A_33_P3354429	-0.586	4.501
A_33_P3356290	1.085	4.205
A_33_P3360341	1.167	3.783
A_33_P3362521	0.46	3.268
A_33_P3362826	0.564	3.38
A_33_P3363188	1.162	5.267
A_33_P3363245	0.93	3.243
A_33_P3364348	-0.55	3.313
A_33_P3364389	0.582	3.535
A_33_P3365985	-0.799	3.569
A_33_P3368950	-1.766	3.357
