ID	log2(fold change)	-log10(Pvalue)
A_21_P0000347	-0.763	4.001
A_21_P0000348	0.578	3.754
A_21_P0000352	-0.639	3.2
A_21_P0000353	-0.5	2.616
A_21_P0000354	-0.512	3.181
A_21_P0000356	-0.554	2.817
A_21_P0000363	-0.273	1.9
A_21_P0000367	-0.442	2.931
A_21_P0000370	-0.409	1.752
A_21_P0000371	0.445	1.943
A_21_P0000373	0.867	2.714
A_21_P0000374	0.8	3.047
A_21_P0000377	0.542	3.444
A_21_P0000378	0.888	3.463
A_21_P0000379	0.731	3.352
A_21_P0000382	1.049	4.156
A_21_P0000383	0.427	1.746
A_21_P0000385	0.378	1.818
A_21_P0000388	-0.58	2.457
A_21_P0000389	-0.536	1.818
A_21_P0000393	1.627	4.521
A_21_P0000394	0.397	2.195
A_21_P0000402	-1.17	5.1
A_21_P0000406	-0.66	3.361
A_21_P0000408	-0.723	2.984
A_21_P0000409	-0.745	3.401
A_21_P0000412	-0.963	3.761
A_21_P0000418	-0.957	4.101
A_21_P0000419	-1.169	4.993
A_21_P0000420	-0.881	3.651
A_21_P0000422	-0.851	3.644
A_21_P0000423	-0.98	2.454
A_21_P0000424	-0.995	4.51
A_21_P0000425	-0.783	3.359
A_21_P0000429	-0.573	2.872
A_21_P0000431	0.438	2.099
A_21_P0000432	0.555	1.794
A_21_P0000437	2.314	2.503
A_21_P0000438	2.981	6.088
