p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
DMGDH,1.907,null,0.579,PSPH,0.502,true
ELN,1.082,null,0.688,PSPH,0.502,true
MTHFD2,0.894,null,0.695,PSPH,0.502,true
PCK2,1.425,null,0.409,PSPH,0.502,true
SAMHD1,1.967,true,0.456,SAMD9L,4.595,true
SP110,4.049,true,0.777,SAMD9L,4.595,true
USP18,5.139,true,0.685,SAMD9L,4.595,true
SP100,5.123,null,0.661,SAMD9L,4.595,true
STAT1,4.095,null,0.887,SAMD9L,4.595,true
STAT2,1.3,null,0.571,SAMD9L,4.595,true
TAP1,4.812,null,0.455,SAMD9L,4.595,true
TAP2,2.655,null,0.423,SAMD9L,4.595,true
TDRD7,3.174,null,0.463,SAMD9L,4.595,true
TLR3,4.082,null,0.515,SAMD9L,4.595,true
TNFSF10,2.397,null,0.424,SAMD9L,4.595,true
TRIM21,2.29,null,0.511,SAMD9L,4.595,true
TRIM22,4.248,null,0.644,SAMD9L,4.595,true
XAF1,2.24,null,0.87,SAMD9L,4.595,true
ZNFX1,1.162,null,0.429,SAMD9L,4.595,true
EIF2AK2,2.24,true,0.624,SAMD9L,4.595,true
IFIH1,7.776,true,0.81,SAMD9L,4.595,true
BATF2,5.647,null,0.462,SAMD9L,4.595,true
CASP1,3.22,null,0.44,SAMD9L,4.595,true
CMPK2,3.282,null,0.695,SAMD9L,4.595,true
CXCL10,6.996,null,0.622,SAMD9L,4.595,true
DDX58,4.068,null,0.82,SAMD9L,4.595,true
DDX60,5.701,null,0.872,SAMD9L,4.595,true
DDX60L,5.26,null,0.843,SAMD9L,4.595,true
DHX58,4.05,null,0.595,SAMD9L,4.595,true
DTX3L,3.653,null,0.527,SAMD9L,4.595,true
EPSTI1,1.991,null,0.89,SAMD9L,4.595,true
GBP1,2.913,null,0.773,SAMD9L,4.595,true
GBP5,2.369,null,0.718,SAMD9L,4.595,true
HELZ2,0.0,null,0.685,SAMD9L,4.595,true
HERC5,4.008,null,0.648,SAMD9L,4.595,true
HERC6,4.332,null,0.572,SAMD9L,4.595,true
IFI16,4.336,null,0.419,SAMD9L,4.595,true
IFI27,4.34,null,0.462,SAMD9L,4.595,true
IFI35,2.561,null,0.82,SAMD9L,4.595,true
IFI44,6.963,null,0.914,SAMD9L,4.595,true
IFI44L,5.515,null,0.866,SAMD9L,4.595,true
IFI6,6.886,null,0.55,SAMD9L,4.595,true
IFIT1,5.051,null,0.65,SAMD9L,4.595,true
IFIT2,6.169,null,0.853,SAMD9L,4.595,true
IFIT3,5.672,null,0.913,SAMD9L,4.595,true
IFIT5,2.509,null,0.687,SAMD9L,4.595,true
IFITM3,1.9,null,0.44,SAMD9L,4.595,true
IRF1,1.782,null,0.518,SAMD9L,4.595,true
IRF7,2.612,null,0.527,SAMD9L,4.595,true
IRF9,4.241,null,0.443,SAMD9L,4.595,true
ISG15,6.076,null,0.66,SAMD9L,4.595,true
JAK2,0.503,null,0.416,SAMD9L,4.595,true
LAP3,1.459,null,0.404,SAMD9L,4.595,true
MX1,6.495,null,0.643,SAMD9L,4.595,true
MX2,2.623,null,0.636,SAMD9L,4.595,true
OAS1,8.029,null,0.683,SAMD9L,4.595,true
OAS2,5.764,null,0.835,SAMD9L,4.595,true
OAS3,2.878,null,0.738,SAMD9L,4.595,true
OASL,7.594,null,0.679,SAMD9L,4.595,true
PARP10,3.298,null,0.401,SAMD9L,4.595,true
PARP12,4.326,null,0.591,SAMD9L,4.595,true
PARP14,3.908,null,0.841,SAMD9L,4.595,true
PARP9,3.938,null,0.872,SAMD9L,4.595,true
PLSCR1,3.064,null,0.457,SAMD9L,4.595,true
PSMB9,1.113,null,0.452,SAMD9L,4.595,true
RSAD2,3.101,null,0.781,SAMD9L,4.595,true
RTP4,3.123,null,0.711,SAMD9L,4.595,true
SAMD9,5.041,null,0.794,SAMD9L,4.595,true
TREX1,0.526,true,0.921,SAMHD1,1.967,true
USP18,5.139,true,0.585,SAMHD1,1.967,true
SH2D3C,0.775,null,0.445,SAMHD1,1.967,true
STAT1,4.095,null,0.746,SAMHD1,1.967,true
STAT2,1.3,null,0.688,SAMHD1,1.967,true
TRIM14,2.709,null,0.423,SAMHD1,1.967,true
TRIM21,2.29,null,0.57,SAMHD1,1.967,true
TRIM22,4.248,null,0.507,SAMHD1,1.967,true
TRIM5,0.631,null,0.889,SAMHD1,1.967,true
XAF1,2.24,null,0.63,SAMHD1,1.967,true
ZC3HAV1,2.077,null,0.544,SAMHD1,1.967,true
ADAR,0.881,true,0.864,SAMHD1,1.967,true
IFIH1,7.776,true,0.675,SAMHD1,1.967,true
SAMD9L,4.595,true,0.456,SAMHD1,1.967,true
APOBEC3F,0.804,null,0.571,SAMHD1,1.967,true
APOBEC3H,1.217,null,0.465,SAMHD1,1.967,true
APOL6,3.839,null,0.489,SAMHD1,1.967,true
BST2,8.756,null,0.896,SAMHD1,1.967,true
CCNA2,-0.639,null,0.911,SAMHD1,1.967,true
CD8A,0.975,null,0.416,SAMHD1,1.967,true
CLEC4A,0.895,null,0.488,SAMHD1,1.967,true
CXCL10,6.996,null,0.4,SAMHD1,1.967,true
DDX58,4.068,null,0.688,SAMHD1,1.967,true
DHX58,4.05,null,0.428,SAMHD1,1.967,true
EGR1,0.776,null,0.532,SAMHD1,1.967,true
GBP5,2.369,null,0.451,SAMHD1,1.967,true
